userid,firstname,lastname,countrycode,rating
76,Urbanus,Lakes,SD,2.5
56,Lolita,Colebrook,NE,4.9
70,Layla,Keynes,FR,2.4
12,Roda,Ratlee,RU,1.8
80,Abbe,McGhee,TH,1.2
77,Cassaundra,Graundisson,GR,1.5
2,Letitia,Pretley,BR,1.4
79,Malina,MacVaugh,RU,2.8
77,Hermy,Luckwell,ID,3.6
21,Danyelle,Mouse,CZ,4.1
32,Winn,De Ortega,PK,3.3
8,Weber,Geall,US,2.6
81,Tybi,Dollar,BR,1.2
11,Sheree,Ormrod,CN,4.3
38,Marcellina,Swiers,RU,3.7
68,Cara,Bernardes,CN,4.0
64,Enos,Arno,CZ,4.9
16,Darrelle,Joutapavicius,CN,1.7
75,Toinette,Acarson,ZA,4.2
45,Kamillah,Bonnyson,PL,2.5
80,Renell,Jeffcock,PL,2.6
39,Lorelei,Brecknock,PL,4.1
77,Star,Stansbie,DO,1.9
47,Coleen,Thomtson,CN,3.8
15,Hayden,Ruppertz,BY,3.6
86,Wesley,Sheldrick,ID,1.3
58,Yves,Chaize,PH,4.0
26,Berk,Dearle-Palser,RU,3.1
59,Earvin,Schettini,BO,3.6
57,Vilhelmina,Alessandrini,DO,4.8
59,Jerrine,De-Ville,CN,2.0
14,Carlene,Wittering,DO,2.4
49,Galina,McVey,CN,1.2
95,Patrice,Stuther,EG,2.2
20,Britte,Harbisher,SY,3.6
40,Joelly,Sapey,MY,3.2
57,Lev,Garnham,CN,1.6
37,Desi,Frankis,RU,1.6
70,Dody,Yendall,BR,1.7
9,Jaquelin,Goldin,ID,2.9
20,Cristobal,Minguet,CZ,2.7
44,Vida,Askham,UY,3.7
84,Dani,Prickett,CU,1.2
4,Michelle,Blease,RU,4.9
76,Vasilis,Mazonowicz,FR,1.8
64,Dion,Crier,ID,3.0
61,Stephine,Halfhyde,RU,3.0
27,Ernst,Horlock,CN,3.0
85,Dill,McCandless,JP,5.0
75,Jenine,Gabbett,CN,3.8
19,Shelli,Searles,IL,4.8
68,Kaile,Grogan,ID,4.5
51,Kimmi,Corston,CN,2.8
23,Fredia,Garwell,GR,4.4
13,Curcio,Klimshuk,BR,4.2
78,Sharon,Keasey,NI,3.1
92,Sterling,Sydall,GR,3.1
100,Bradney,Leathlay,MG,3.4
21,Gerome,Casine,BA,1.0
45,Eliot,Belsey,FR,2.0
6,Sharona,Marcroft,US,3.6
31,Analiese,Seary,PH,2.3
44,Dredi,Goodbar,LV,3.9
25,Ardra,Swynley,LV,4.4
40,Terencio,Goucher,CN,4.2
42,Jo-ann,Moff,AR,3.9
79,Silvester,Rennels,CN,2.5
1,Joela,Screach,TH,3.3
33,Harper,Attwooll,SD,2.1
39,Holly-anne,Gathercole,KR,4.3
5,Stanford,Meineck,PH,4.0
57,Oswell,Gubbin,CN,2.0
68,Teddi,Le Grove,CN,2.3
5,Saunders,Instone,VE,4.4
22,Grange,Eccles,PH,4.8
96,Stanton,Anning,CN,4.3
44,Consuela,Yitzhakov,ZA,3.4
86,Kym,MacKellen,GT,3.0
47,Adrianna,Vasyutin,CA,1.4
18,Isaiah,Cossum,CN,3.1
41,Aeriell,Sheaber,LA,3.9
17,Isac,Mallinder,BD,4.3
23,Jamey,Riddock,TZ,4.7
54,Alexandre,Band,JP,4.0
53,Gaby,Siggens,US,3.2
91,Minny,Bown,IR,1.1
46,Daniel,Stutte,MG,4.3
3,Dougy,Arrundale,SE,2.5
7,Zolly,Chaunce,CN,4.4
40,Winni,Murcutt,FR,4.3
84,Weston,Scholes,SE,2.9
17,Venita,Cupper,DK,2.6
57,Brooks,Maybey,RU,2.8
40,Anthia,Adamowicz,ES,4.2
49,Cthrine,Raphael,TH,3.4
8,Bobby,Vedenichev,CZ,3.2
59,Jephthah,Benham,RU,1.1
17,Annelise,Pizzey,CA,2.8
92,Esma,Murray,LU,4.8
27,Betteanne,Stopper,YE,2.4
3,Rockie,Danovich,MM,1.8
89,Mab,Becket,SY,2.1
96,Milly,Balchen,FR,3.2
71,Coletta,Mackney,NA,4.9
90,Benetta,Carlozzi,PH,3.9
20,Selinda,Iddenden,SD,4.8
65,Carmelia,Sayton,CN,4.6
87,Allison,Brauns,US,4.8
57,Veda,OIlier,CN,3.5
8,Hephzibah,Petrushkevich,TJ,3.8
84,Willow,Fidoe,CO,1.4
13,Nance,Duckitt,LY,3.1
61,Allegra,Riepel,PL,1.0
45,Starlin,Schoffler,PK,4.0
22,Say,Aspinal,PH,3.7
71,Luis,Pflieger,ID,3.3
13,Etienne,How to preserve,CZ,4.8
86,Ceciley,Crosi,CN,3.2
25,Euell,Ossenna,VE,4.3
74,Gabriell,Vivers,PL,1.7
18,Berri,Gregorio,CO,3.1
8,Sean,Leddy,CN,3.5
67,Brook,Puden,PT,3.2
58,Alia,Cawsby,BR,1.5
60,Codi,Lampl,ZA,2.7
66,Rozalin,Bineham,CN,3.1
27,Morrie,Nowell,ID,1.4
78,Lindsay,Hurley,BA,2.8
89,Germana,Atthow,CA,2.7
4,Julee,Sherwell,CN,1.3
41,Athena,Guyer,SV,1.4
74,Patsy,Hullbrook,ID,4.2
21,Cathrin,Maidment,SE,4.9
58,Yardley,Maydway,PE,4.0
47,Olly,Brislane,UG,2.9
67,Aggie,Kenninghan,MX,1.1
57,Diena,Dahmel,ID,3.9
59,Layney,Gavrielly,RU,1.6
17,Nanine,Boncoeur,RU,3.3
38,Nara,Quigley,CN,4.1
76,Bernhard,Golightly,KZ,2.3
18,Dixie,Thornewill,ID,1.2
57,Corene,Tuffin,PH,1.5
16,Denise,Baroc,CN,4.5
37,Gae,Cruwys,CN,4.5
23,Michele,Murty,ID,4.8
84,Edgar,Ast,IR,4.9
74,Eydie,Glassard,BR,3.6
88,Diann,Wyse,GR,3.1
9,Leelah,Seyler,PL,1.2
26,Sayres,Okell,SV,2.2
46,Melony,Aronow,CR,4.4
70,Timofei,Prendergast,PL,4.2
60,Shem,Aronin,CN,3.3
22,Hannah,De Winton,PH,2.2
13,Kelly,Tomaszewicz,FR,4.2
98,Isabeau,Mulqueen,GN,2.4
85,Melinda,Johnston,CL,2.1
66,Yuri,Kinson,IQ,2.1
22,Colman,Schwier,RU,3.3
96,Nikita,Raddon,FI,1.7
85,Erda,Peeter,ID,1.8
49,Ade,Janecek,ID,2.8
82,Mara,McConnachie,PT,1.3
90,Effie,Wybron,CN,4.2
79,Warner,Mattusov,PT,4.2
15,Byrom,Otton,PK,3.8
28,Brit,Finessy,IR,2.7
23,Errol,Meldrum,TH,3.0
52,Hubey,Sinnocke,GR,2.8
47,Kerrie,Petren,CN,4.5
24,Kirstin,Whittlesee,FR,3.4
40,Maxwell,Cornell,DO,1.2
29,Timmy,Cowdroy,MY,3.8
37,Serena,Lemmanbie,PT,2.3
78,Sheila-kathryn,Marioneau,FI,2.8
14,Elvina,Kohen,FR,2.0
89,Koral,Spreag,NA,4.2
88,Xylia,Kerwin,US,2.2
25,Dotty,Bennington,US,1.6
15,Gerry,Slessar,BQ,3.1
5,Grissel,Stinson,ID,1.8
52,Shurwood,Vigers,PL,1.8
21,Auroora,Bartke,GR,4.7
87,Ofella,Tesmond,PT,1.3
39,Nathanil,Nock,SE,1.7
34,Tanney,Dyson,CR,2.0
5,Bogart,Tamplin,PT,1.0
50,Raine,Seakes,VE,4.1
20,Addy,Feavers,ZA,1.3
35,Robby,Gissop,JP,3.9
75,Trev,Duffield,SY,4.8
49,Hestia,Braidon,NC,3.3
77,Skip,Warrillow,CZ,3.5
7,Melba,Snoxell,NG,1.1
89,Waite,Teanby,BA,3.3
62,Arlinda,Carrel,NL,4.5
29,Lotta,Willavize,PT,3.7
33,Marrissa,Oulett,GR,2.6
68,Padraig,Clapperton,CO,4.8
51,Bucky,Lumber,IE,2.6
64,Fraze,Wright,ID,4.4
30,Lemuel,Wogdon,MX,2.4
71,Lucky,Lahrs,CO,3.0
12,Roi,Rainard,ID,3.9
90,Eleanor,Ransom,CN,1.1
22,Penny,Keelinge,US,1.1
27,Shani,Wadham,SY,4.0
100,Boyd,Villaron,NZ,2.4
56,Lurette,Drance,CZ,1.8
23,Hillyer,Cooper,CN,3.2
71,Catharina,Gabbat,RU,1.8
82,Rollin,Korneluk,UA,1.3
66,Georgie,Hovert,UG,2.9
95,Brianna,Van Oord,TM,2.9
85,Vito,Lodo,RU,3.8
32,Wheeler,Screwton,BR,2.2
36,Parker,Bohlje,KR,2.8
11,Stuart,Colleymore,CN,4.9
3,Joline,Babbs,CN,1.2
4,Orville,O'Glassane,IL,3.0
18,Micaela,Andreia,CO,4.7
4,Anna-diana,Fearnley,CN,4.1
89,Emmie,Troker,PS,4.9
26,Felice,Jewson,HN,4.7
25,Jone,Iskowicz,UA,1.8
65,Towny,Tithacott,MH,2.2
2,Tate,Giblett,BR,4.1
45,Weber,Manville,BR,2.1
49,Gay,McAlinion,CZ,2.2
39,Elvira,Kingcote,CN,3.0
14,Nicolas,Pomphrey,CN,4.6
71,Seymour,Rae,HN,1.1
91,Briana,Capozzi,CN,3.5
43,Francklin,Larchier,US,1.1
80,Stephine,Le Surf,JP,3.2
53,Goraud,Ardling,ID,3.2
10,Kay,Tetley,HN,4.8
53,Ericka,Osichev,CN,3.7
22,Chic,Jeynes,GT,3.2
40,Horatius,Enderson,PT,1.7
97,Miof mela,Brammer,AL,4.4
7,Barthel,Attack,RU,1.3
81,Laurice,Brangan,IE,1.7
44,Whitby,Hulstrom,ID,4.5
63,Asa,Jandl,RU,1.4
55,Querida,Dwyr,BA,2.7
24,Johannes,Harler,CN,1.1
63,Judy,Haggata,AR,2.0
71,Minta,Dundridge,CN,4.9
40,Kelvin,Dobrowolny,CM,2.9
3,Ozzy,Friday,PK,1.9
83,Yorke,Bibey,CN,4.1
33,Dick,Lelande,PH,4.0
50,Alfi,Emblem,GR,3.8
56,De witt,Eaddy,ZA,3.9
22,Freddie,Kilcullen,CN,3.7
56,Bernice,Sweetsur,DE,4.9
84,Ulrika,Picheford,RU,3.1
19,Bea,Lambertazzi,HN,3.4
24,Wake,Gratten,LV,3.2
75,Reuben,Kleimt,ID,2.5
36,Noel,Teggart,JO,1.1
29,Stephen,Karolczyk,RU,2.8
23,Sheilakathryn,Deyes,NG,1.5
83,Wyatan,Whenham,MG,2.2
63,Jareb,Buyers,AL,3.8
49,Cliff,Corcut,KZ,4.9
56,Aluino,Yantsev,CN,3.7
36,Lisabeth,Whistlecraft,AM,4.5
34,Kellia,Komorowski,FR,4.6
11,Rodie,Ackermann,GT,2.2
100,Ollie,Yukhtin,CN,2.2
92,Izabel,Reed,NO,2.3
55,Kirsti,Lettington,RU,5.0
69,Allianora,Ferrarotti,BY,3.6
56,Stephine,Baxter,UA,1.6
27,Barclay,Goggen,ID,3.2
44,Aggie,Baiyle,CN,3.4
82,Trumann,Tilte,PT,4.6
15,Elspeth,Zapatero,CN,3.3
88,Talbot,Weeden,ID,2.3
32,Carline,Casiroli,CA,1.9
73,Matthew,Larvin,JM,2.9
41,Stevy,Malletratt,ID,1.8
66,Dudley,D'Errico,ID,1.6
70,Ciro,Fosdick,PT,1.9
40,Cherey,Philippet,SO,3.2
23,Alidia,Porkiss,PH,3.8
57,Ursa,Treagus,PL,1.2
2,Sigismondo,Roggero,IR,4.2
56,Koo,Yukhnini,RS,4.0
40,Roman,Clark,EE,1.1
19,Mario,Pomfret,FR,1.3
85,Trista,Vondrak,PT,3.3
74,Sergent,Watterson,NG,2.4
92,Ingeberg,Croughan,CN,3.2
40,Lianne,De Mattei,CN,3.7
83,Lark,Hysom,SE,4.8
25,Sibyl,Lillegard,ID,4.1
13,Cecilla,Aldam,PH,3.2
17,Shepherd,Spelman,HR,4.8
44,Hillier,Taw,ID,1.2
46,Avictor,Broek,IR,4.5
63,Alyse,Bonnette,CN,2.1
36,Gerri,Vidyapin,JP,1.6
81,Roderic,MacCulloch,ID,2.7
90,Ceil,Meneux,TJ,2.8
100,Tommy,Garroch,RU,1.1
42,Hewett,L'Episcopio,UA,4.3
5,Carlee,Ellor,SE,1.6
53,Faith,Bugdell,MT,4.9
28,Francisca,Oty,ID,4.4
16,Ezra,Coushe,BY,3.7
82,Vasily,Commin,BG,3.6
59,Free,Cahillane,KW,3.6
52,Jenelle,Girardi,CO,1.5
38,Renell,Pomfret,NO,4.9
82,Lombard,Heckle,ML,4.2
23,Krysta,Salter,KZ,3.2
17,Dianemarie,Belliard,RU,4.8
30,Stacee,Rossin,ID,1.5
62,Martelle,Gobat,MY,3.6
27,Richmound,Calway,TZ,1.9
57,Leda,Shimwell,RU,3.9
57,Corbet,Riping,PS,3.5
50,Mellisent,Crow,FI,1.2
7,Amalee,Greguoli,ID,3.5
46,Brynn,Kembery,CL,1.6
74,Chlo,Bradnick,PH,1.8
26,Darn,Tomasoni,IR,2.6
26,Aube,Ottley,PT,3.1
41,Latrena,Woodroofe,CN,3.9
2,Bartel,Fain,ID,3.2
70,Carroll,Butlin,BR,2.4
60,Lee,Iacovo,ID,3.3
23,Lonny,Tortoise,PL,3.3
53,Patrice,Leonard,YE,4.1
69,Farlie,Bartolacci,AZ,2.1
11,Ashbey,Rabl,CN,4.5
85,Michal,Stammer,PE,2.6
58,Salvidor,Galton,DK,4.4
24,Remington,Surpliss,CA,4.7
60,Tomi,Enticott,RU,1.8
94,Martelle,Plester,IR,4.9
27,Meier,Battin,EC,4.8
4,Lelah,Headrick,UG,1.9
10,Marisa,Mechi,CN,1.8
60,Andriana,Winterscale,PL,1.1
92,Delmar,McWhannel,PH,3.3
27,Court,Andreolli,PH,3.5
95,Rodolfo,Ellingworth,RU,5.0
16,Steven,Dmitriev,BG,1.1
21,Konstanze,Buswell,TN,1.3
17,Trescha,Sorrie,CN,1.6
36,Geoffrey,Cecely,CN,2.1
20,Amabelle,Oldnall,JM,4.1
23,Normy,Grabb,ID,1.3
52,Broderic,Dodsworth,CN,2.7
96,Candi,O'Corren,AF,3.8
69,Di,Mc Elory,PH,4.5
78,Caty,Spileman,RU,2.7
90,Dyanne,Petschel,MK,4.1
66,Allison,Parker,CN,2.1
58,Erica,Giovannacc@i,PH,1.9
89,Margery,Brimfield,CF,4.3
25,Read,Ragdale,CN,3.5
42,Brit,Foale,CN,1.9
8,Benji,Gallant,PH,3.2
51,Debby,Moar,SE,4.3
24,Jessica,Ferrant,BG,3.6
32,Sheilah,Rivard,KZ,1.8
87,Hilary,Guilloux,ID,3.2
72,Jacquette,Sterke,RU,1.3
8,Trumaine,O'Connor,CN,4.7
41,Richmound,McKevitt,PL,4.4
42,Marsh,Godby,ID,3.3
7,Sloan,Bondesen,IR,3.7
88,Rodolfo,Francesco,ID,1.5
70,Fulvia,Masterman,CN,3.2
88,Sherrie,Pym,MY,3.7
43,Adrianna,Juza,IR,4.2
32,Feodor,Willmett,ID,4.0
82,Dwight,Marconi,ID,4.1
85,Mercedes,Warricker,CN,2.7
31,Derril,Bischop,CN,4.3
62,Nelia,Shubotham,CN,2.5
71,Parke,Whitsey,CN,4.5
1,Hugibert,Harlett,JO,3.8
38,Tracy,Squeers,BR,2.7
77,Francisca,Pischof,US,1.1
54,Jens,Hosburn,ID,2.8
60,Madelyn,Tye,JO,4.4
87,Bobine,McVitie,PH,3.0
8,Cleavland,Leggett,FR,2.3
31,Millard,Quinevan,CN,3.7
80,Mitch,Alton,IQ,1.3
25,Deanna,Gorton,CN,1.6
71,Karoline,Jopke,CN,2.3
14,Cathleen,Gilfether,MG,4.1
79,Obadias,Lawlance,ID,4.8
23,Adella,Gardiner,FR,1.2
34,Tessa,Bousquet,PT,1.7
82,Flin,Thoms,TH,4.5
100,Alina,Jenking,RU,2.6
41,Lucky,Fayers,PH,1.5
27,Angela,Norres,RU,3.2
44,Pietrek,Martusewicz,JP,1.0
18,Izabel,Berends,CN,1.9
94,George,Kix,CN,4.4
3,Nanci,Seiler,SY,2.7
69,Alayne,Dumingos,RU,1.1
54,Burton,Lyster,ID,4.6
14,Franchot,Espinel,CN,1.8
57,Lorain,Pavia,US,1.1
27,Chan,Manshaw,GR,2.0
71,Bernadina,Rickersey,PH,1.8
82,Dorine,Heikkinen,CN,2.0
94,Angelle,Foddy,ID,3.7
49,Dorris,Connelly,PL,4.9
65,Saxon,Arboine,ID,4.0
89,Linnet,Kubala,PL,2.1
45,Gan,Palmby,RU,1.7
43,Rube,Alcoran,RU,3.9
59,Sheffield,Wankel,BR,3.0
22,Reinwald,Salazar,CN,5.0
72,Candide,Lafayette,PL,4.1
86,Jody,Junkison,CN,1.7
86,Caterina,Molder,PT,4.2
99,Isabelita,Charrett,SE,1.8
59,Brendis,Keinrat,SV,2.2
17,Emilie,Hartas,CO,3.2
54,Marleah,Manach,CN,3.4
32,Jackquelin,Inkle,PS,2.9
52,Richy,Flaunier,TJ,3.4
69,Tiebold,Harston,LK,2.9
55,Daryle,Estrella,CN,3.1
21,Jimmie,Durram,ID,3.8
87,Natalina,Jullian,BR,1.0
64,Devinne,Zapater,SE,2.2
29,Faydra,Helbeck,CM,3.7
29,Melesa,Fiennes,BA,4.4
90,Freddie,Miebes,CN,4.0
43,Farrand,Arling,RU,1.9
4,Sheryl,Markovic,RU,3.8
80,Phillipp,Hoyland,PK,3.0
58,Lonny,Litchmore,SE,4.7
3,Letisha,Ealles,ID,1.8
84,Shandra,Comino,NI,4.9
65,Kalila,Cowely,DE,4.8
95,Trevar,Cawse,UZ,3.1
84,Ferdinand,Dixcee,CA,3.8
97,Irina,Nolton,ID,3.9
82,Cy,Harcus,GR,2.2
94,Silvanus,Pamphilon,CN,1.7
65,Fionna,Assaf,MK,3.2
25,Susi,Curbishley,ID,3.2
56,Padget,Skures,AL,3.1
98,Missy,McMeeking,CZ,2.6
98,Christoffer,Rushby,NG,4.3
83,Betti,Shearer,TN,1.9
81,Ellery,Esel,DK,4.3
86,Vlad,Pinckney,CN,4.8
32,Chase,McCrohon,CI,4.3
60,Felice,Scrooby,CN,2.0
59,Giana,Delepine,MX,1.3
11,Con,McGorman,CN,4.0
22,Matteo,Urien,PE,1.7
47,Roobbie,Shirtcliffe,PT,4.4
67,Timmy,Althorp,JP,3.6
5,Fields,Gilliver,ZA,2.2
64,Karina,Dominichetti,ID,4.0
95,Eddi,Hovert,CZ,3.9
92,Melamie,Dawidowitsch,VN,1.7
51,Minetta,Kenworthey,PL,3.3
89,Coral,Hoy,CN,4.8
28,Ermentrude,Dunton,CN,2.6
3,Rozanne,Sinnott,BR,3.3
8,Nikolaus,Bellie,CN,2.9
46,Elnore,Yvens,RU,4.6
17,Fredia,Sidebotton,CN,4.5
79,Lucine,Boerder,PH,4.0
33,Norah,Olivet,MW,2.3
73,Marni,O' Cloney,BR,2.4
17,Keri,Whetton,SI,2.6
60,Clifford,Hovy,BR,3.7
6,Daphne,Dashper,BA,2.9
7,Sloan,Fyall,SI,4.1
69,Isabelle,Staterfield,US,2.2
16,Marcie,Hefferan,FR,4.9
25,Bernete,Davidof,PT,1.8
90,Gisela,Ledgeway,CN,2.5
46,Humbert,Titmus,CN,3.3
14,Antoine,Haryngton,US,1.2
17,Eadmund,Trouncer,PE,3.5
21,Cathleen,Talby,CR,4.2
84,Fae,Bottle,CN,4.7
70,Dosi,Welbourn,EG,3.7
47,Germaine,Chill,VN,4.0
18,Chane,Darley,JP,4.9
95,Danyette,Leinthall,BR,3.9
78,Ana,Lafflina,SE,3.9
50,Flossie,Lindley,ID,4.1
65,Dillon,Penzer,CA,1.6
42,Marketa,Lassells,BR,4.4
69,Stephannie,Berntsson,FR,3.9
73,Harriet,Mashro,ID,1.5
42,Giles,Faulconbridge,CN,2.3
88,Bartlett,Giovanetti,AZ,4.6
13,Audy,Krop,DO,3.6
55,Billy,Padly,FI,2.3
23,Aura,Robeson,PH,3.1
89,Karalynn,Cuthbert,PH,1.1
3,Alene,Rizzelli,NL,3.0
30,Blondy,Surgeon,CN,3.3
45,Andrea,Going,GR,1.0
7,Taite,Scowcraft,PH,1.8
52,Willy,Fosken,JP,3.1
7,Elka,Sowden,RU,4.1
64,Latia,Havenhand,JP,2.1
29,Jacquelyn,Apfel,SI,4.8
6,Boothe,Castillon,IE,4.6
68,Rania,Sugars,CA,4.7
42,Ardys,Vaudrey,CN,1.8
23,Murdock,Grinsdale,MX,3.4
4,Giacinta,Hubbard,PT,4.4
47,Zacharias,Wakerley,ZA,1.4
37,Colby,Rumbold,RU,4.6
94,Ruby,Brothwell,PT,3.8
8,Garvin,Bowland,PH,4.5
16,Gerry,Raynes,KZ,3.5
90,Ottilie,Strank,PT,3.0
79,Eugen,Codner,CZ,3.6
66,Vinnie,Markovich,JP,2.2
45,Sky,Chambers,ID,1.2
53,Gwendolyn,Cruickshank,CN,3.5
31,Finley,Flack,YE,5.0
18,Joyce,Coolson,PK,3.9
29,Zeke,Robotham,CN,2.2
67,Brinn,Roskams,US,2.6
76,Lindy,Skain,US,4.6
10,Marla,Sandhill,JP,4.1
95,Arvie,Hamberstone,FR,4.4
12,Filia,Grazier,JP,4.9
28,Jenna,Scarrisbrick,PE,2.2
93,Theodora,Verchambre,FR,2.6
89,Bobbee,McFadzean,CA,2.5
21,Chase,Plampin,UA,1.9
72,Cammy,Toulch,CN,1.3
85,Keary,Saw,CZ,2.7
95,Drusilla,Sabin,PL,1.8
72,Gilemette,O'Coskerry,PK,3.9
56,Laurence,Rhead,CN,2.7
68,Belle,Clawson,FR,3.6
13,Celeste,Caves,ID,4.1
30,Juliette,Oakton,GT,4.6
80,Rickey,Ricardon,SE,1.9
92,Ellie,Willerstone,ID,2.1
80,Leonanie,Thorneywork,PH,1.8
47,Maryann,Cockroft,US,1.7
26,Rouvin,Gerdes,ML,4.8
90,Mariquilla,Batho,PH,3.9
9,Malia,Benterman,ID,1.7
99,Ingram,Stirrup,FR,2.9
7,Briggs,Lippitt,MK,1.7
79,De witt,Charrington,CN,2.3
22,Kaile,Strooband,FR,3.1
96,Waldo,Dachs,CZ,1.1
64,Jude,Dilliston,CN,3.7
56,Johnath,Beavors,PL,1.3
33,Allister,Silverlock,PK,4.9
89,West,Delatour,CZ,3.1
28,Maurice,Laidlow,IL,4.1
57,Sibella,Christer,CN,2.3
12,Krista,Lindell,GR,2.5
18,Biron,Furbank,ID,1.1
43,Eleonora,Hairsnape,GR,4.6
33,Rudolfo,Timlett,KR,2.0
58,Gladys,Wainer,BF,3.4
89,Cassandra,McIntee,FI,3.8
56,Lynde,Pollicote,BY,3.9
100,Janie,Burness,CN,4.4
50,Agnesse,Puckrin,PS,2.1
97,Wilona,Bath,AZ,3.5
19,Wilbert,Perrin,PH,2.1
1,Saunderson,Ege,CN,1.8
45,Mayne,Gritton,RU,3.5
76,Jenine,Denerley,TH,3.5
4,Essa,O Sullivan,ID,1.9
1,Danell,Courtes,SE,4.5
40,Weidar,Deaconson,US,3.1
81,Eugen,Pickworth,CN,4.6
43,Davide,Boothroyd,FR,4.7
41,Leona,Firmage,CA,4.2
94,Sadella,Bleasdale,CN,3.6
22,Dedra,Febre,CN,2.0
85,Donna,Letterick,TG,2.5
84,Jeni,Annets,PL,1.5
28,Marinna,Jado,SE,2.3
59,Athene,Fordyce,US,4.2
29,Lamont,Derkes,TH,2.0
22,Phaedra,Money,CN,4.8
96,Berrie,Sycamore,CN,3.9
77,Rafaela,Riditch,MM,1.3
55,Esra,Howard - Gater,PE,3.3
76,Geno,Haistwell,NO,2.9
46,Filia,Meachen,RU,2.8
33,Randy,Godleman,ID,3.9
92,Lazarus,Hachette,ID,2.3
24,Allie,Munkley,VN,2.6
50,Luz,Dougher,SE,2.8
16,Nanine,Quant,LK,4.6
90,Juana,Sawforde,PE,3.9
84,Kirsti,Purbrick,PT,4.8
93,Weber,Wetherill,RU,3.6
39,Randall,von Nassau,AR,2.5
84,Linzy,Hamsley,CN,2.9
96,Cob,Lagde,FR,3.6
70,Ellery,Everex,RU,1.1
90,Rog,Slot,UA,3.4
50,Rustie,Milne,ID,1.7
85,Jarid,Carslake,BR,2.0
75,Tybi,Strapp,CN,1.3
6,Teddy,Raithmill,RU,4.7
18,Sallyann,Sanderson,BF,4.9
81,Beatrisa,Longworthy,VN,2.3
82,Aldin,Curnokk,US,3.1
7,Gloria,Bozier,CA,2.8
16,Randolf,Winslade,PL,3.7
16,Liza,Whitwham,FR,1.1
27,Merwin,Cattermull,MT,2.8
28,Lacy,Pomphrett,ET,1.3
54,Donall,Odeson,PH,2.3
87,Mona,Bountiff,GR,3.8
45,Dominick,Saltsberg,CN,4.3
16,Odell,Oneil,US,1.6
30,Averell,Duffer,CN,2.9
10,Cleo,Moret,JP,3.8
65,Khalil,Sparrowe,SE,2.2
49,Lida,Dillinton,RU,5.0
49,Meara,Pitman,KZ,4.1
14,Candace,Deboick,CN,4.5
12,Joel,Mish,RU,2.7
61,Tory,Baillie,TH,3.6
27,Klaus,Christy,HN,1.3
34,Foster,Gytesham,BR,1.4
33,Carmita,Winkett,RU,2.1
60,Johannes,Licciardi,PL,4.0
11,Meridith,Bedbrough,PH,2.7
80,Xever,Gail,ID,3.5
48,Amii,Gillford,CZ,2.2
67,Armand,Mars,PH,4.0
96,Eric,Eakle,CN,3.4
91,Vitoria,Stitfall,CY,2.0
73,Pegeen,Crady,RU,1.8
16,Rickey,Farress,CN,2.5
17,Adler,Thomke,GR,4.4
97,Gearard,Holhouse,PL,2.5
98,Syd,Michelin,RU,3.9
19,Marleen,Aldhous,ID,1.4
8,Emeline,Kubista,CN,1.3
71,Kissiah,Du Fray,ID,4.1
62,See,Click,PH,3.6
6,Mal,Ibotson,MX,1.7
8,Reynold,Farrell,MG,2.8
40,Boone,Rubanenko,UA,1.3
45,Graehme,Disbrow,RU,3.8
9,Leslie,Wigan,US,4.8
87,Patin,Cashman,CA,1.0
